user_id,age_range_min,gender
0,13,f
1,25,m
2,35,m
3,35,f
4,35,m
5,25,m
6,25,f
7,18,m
8,25,m
9,13,f
10,25,f
11,25,f
12,35,m
13,18,f
14,35,m
15,35,m
16,13,f
17,25,f
18,25,f
19,18,m
20,25,m
21,25,m
22,35,f
23,25,f
24,25,m
25,18,f
26,13,f
27,18,m
28,35,f
29,25,f
30,18,m
31,35,m
32,25,f
33,18,m
34,35,m
35,25,f
36,35,m
37,18,f
38,35,f
39,25,f
40,13,f
41,13,f
42,35,m
43,35,m
44,18,m
45,25,m
46,35,f
47,25,m
48,18,f
49,35,m
50,55,f
51,25,f
52,25,m
53,18,m
54,18,f
55,18,f
56,18,f
57,18,f
58,18,m
59,35,f
60,35,f
61,13,f
62,35,f
63,18,m
64,25,f
65,25,m
66,35,m
67,18,m
68,18,f
69,55,f
70,25,f
71,25,f
72,25,f
73,25,m
74,18,f
75,35,f
76,25,f
77,18,f
78,18,f
79,25,f
80,13,m
81,25,m
82,35,m
83,25,f
84,18,m
85,35,m
86,35,m
87,35,m
88,55,f
89,25,f
90,25,m
91,13,m
92,35,m
93,25,m
94,35,f
95,25,f
96,35,m
97,25,m
98,35,m
99,13,f
100,25,f
101,25,f
102,35,m
103,25,f
104,25,m
105,35,m
106,35,m
107,35,m
108,18,f
109,35,m
110,25,m
111,35,m
112,35,f
113,35,f
114,35,m
115,25,f
116,35,m
117,35,m
118,35,f
119,35,m
120,35,m
121,18,f
122,25,m
123,35,m
124,18,m
125,25,f
126,35,m
127,13,m
128,35,m
129,35,f
130,35,m
131,18,f
132,55,f
133,25,m
134,35,m
135,25,f
136,55,m
137,25,f
138,18,m
139,25,m
140,25,f
141,35,m
142,35,m
143,25,f
144,25,m
145,25,m
146,35,f
147,35,m
148,18,f
149,18,m
150,13,f
151,35,m
152,13,f
153,35,m
154,25,m
155,18,f
156,35,m
157,13,f
158,55,f
159,25,f
160,18,f
161,18,f
162,18,m
163,35,f
164,13,m
165,35,m
166,35,f
167,35,f
168,18,m
169,18,m
170,35,m
171,35,f
172,35,m
173,18,f
174,25,m
175,35,m
176,35,f
177,35,m
178,18,f
179,18,m
180,25,f
181,35,m
182,18,m
183,25,m
184,18,m
185,35,m
186,35,m
187,18,f
188,18,f
189,35,m
190,55,f
191,35,f
192,35,m
193,18,m
194,35,f
195,35,f
196,25,f
197,25,m
198,25,m
199,35,m
200,25,f
201,18,f
202,18,f
203,35,f
204,35,m
205,25,f
206,35,m
207,25,m
208,13,f
209,25,m
210,25,m
211,18,m
212,25,f
213,35,m
214,25,f
215,18,f
216,13,f
217,55,f
218,18,f
219,25,m
220,35,f
221,13,f
222,25,f
223,18,f
224,35,f
225,25,f
226,55,f
227,25,f
228,25,m
229,35,f
230,13,f
231,18,f
232,13,f
233,25,f
234,25,f
235,25,m
236,35,m
237,35,m
238,18,m
239,35,m
240,35,f
241,25,f
242,25,f
243,25,f
244,35,m
245,25,f
246,25,f
247,13,f
248,25,m
249,25,m
250,13,f
251,13,m
252,35,f
253,13,m
254,35,m
255,35,m
256,18,m
257,13,m
258,25,f
259,18,m
260,35,m
261,35,m
262,35,m
263,18,f
264,13,f
265,25,m
266,35,f
267,18,m
268,18,m
269,25,m
270,55,f
271,35,m
272,13,f
273,13,f
274,13,f
275,13,f
276,13,m
277,18,f
278,13,m
279,25,f
280,13,f
281,35,m
282,25,m
283,25,m
284,35,m
285,35,m
286,35,m
287,55,f
288,18,f
289,25,f
290,18,f
291,35,m
292,35,m
293,35,f
294,18,m
295,35,f
296,35,f
297,35,m
298,25,f
299,35,m
300,25,m
301,18,f
302,25,m
303,25,f
304,35,m
305,35,f
306,55,f
307,25,m
308,35,m
309,35,m
310,25,f
311,25,m
312,13,f
313,55,f
314,25,m
315,35,m
316,35,m
317,35,m
318,35,f
319,18,f
320,35,f
321,25,m
322,35,m
323,18,f
324,18,f
325,13,f
326,18,m
327,18,f
328,35,m
329,18,f
330,35,m
331,25,f
332,35,m
333,18,f
334,35,m
335,25,m
336,35,f
337,18,m
338,18,m
339,35,m
340,18,m
341,55,f
342,35,m
343,25,f
344,13,f
345,25,f
346,18,f
347,35,m
348,35,m
349,35,f
350,35,m
351,35,f
352,25,m
353,25,m
354,18,m
355,25,m
356,18,m
357,18,f
358,35,f
359,35,m
360,25,m
361,25,m
362,25,m
363,35,f
364,35,f
365,25,f
366,35,f
367,25,f
368,35,f
369,18,f
370,18,f
371,13,f
372,35,f
373,35,m
374,35,m
375,35,f
376,35,m
377,25,f
378,13,f
379,18,m
380,18,f
381,35,f
382,18,f
383,18,f
384,25,f
385,35,m
386,25,f
387,25,f
388,18,m
389,25,m
390,35,m
391,35,f
392,25,m
393,55,f
394,35,f
395,13,f
396,18,f
397,25,f
398,25,f
399,35,f
400,35,m
401,25,f
402,35,f
403,35,m
404,35,m
405,35,m
406,25,m
407,18,f
408,55,f
409,18,f
410,25,m
411,35,m
412,35,m
413,18,f
414,55,f
415,35,f
416,18,m
417,18,m
418,35,m
419,35,f
420,18,f
421,35,m
422,25,f
423,35,f
424,35,f
425,35,f
426,35,f
427,35,m
428,25,f
429,18,m
430,25,f
431,25,f
432,35,m
433,18,f
434,18,f
435,25,f
436,35,m
437,25,f
438,25,f
439,13,m
440,55,f
441,55,f
442,25,m
443,18,f
444,35,f
445,25,m
446,18,m
447,25,f
448,35,f
449,25,m
450,35,m
451,35,m
452,35,m
453,25,f
454,25,m
455,55,m
456,18,m
457,25,f
458,25,f
459,18,f
460,18,f
461,35,f
462,13,f
463,25,m
464,25,m
465,35,f
466,25,m
467,35,m
468,18,f
469,25,f
470,35,m
471,18,f
472,25,m
473,55,f
474,18,m
475,35,f
476,18,m
477,25,f
478,25,m
479,25,f
480,25,m
481,25,f
482,35,m
483,18,f
484,35,f
485,18,m
486,18,f
487,35,m
488,18,f
489,35,m
490,18,f
491,35,m
492,35,m
493,18,f
494,35,m
495,35,f
496,55,f
497,18,m
498,25,f
499,25,f
500,13,f
501,25,m
502,13,f
503,18,f
504,35,f
505,25,f
506,18,f
507,35,m
508,25,m
509,35,f
510,35,m
511,35,m
512,35,f
513,18,f
514,55,f
515,35,m
516,35,m
517,18,m
518,35,m
519,18,m
520,18,f
521,25,f
522,55,f
523,35,m
524,25,m
